Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-1,Pump,120,5.2,110
Compressor-1,Compressor,165,8.4,140
Valve-1,Valve,85,4.5,100
HeatExchanger-1,HeatExchanger,95,6.2,125
Reactor-1,Reactor,150,7.8,135
Condenser-1,Condenser,110,5.8,115
Pump-2,Pump,125,5.5,112
Compressor-2,Compressor,160,8.2,138
Valve-2,Valve,90,4.8,102
HeatExchanger-2,HeatExchanger,100,6.5,128
Reactor-2,Reactor,145,7.5,132
Condenser-2,Condenser,105,5.6,118
Pump-3,Pump,115,5.0,108
Compressor-3,Compressor,158,8.0,136
Valve-3,Valve,88,4.6,101
HeatExchanger-3,HeatExchanger,98,6.0,123
Reactor-3,Reactor,148,7.6,133
Condenser-3,Condenser,108,5.4,116
Pump-4,Pump,122,5.3,111
Compressor-4,Compressor,162,8.3,139
Valve-4,Valve,87,4.4,99
HeatExchanger-4,HeatExchanger,96,6.1,124
Reactor-4,Reactor,152,7.7,134
Condenser-4,Condenser,112,5.7,117
Pump-5,Pump,118,5.1,109
Compressor-5,Compressor,163,8.1,137
Valve-5,Valve,92,4.7,103
HeatExchanger-5,HeatExchanger,102,6.4,127
Reactor-5,Reactor,147,7.4,131
Condenser-5,Condenser,106,5.5,114
Pump-6,Pump,119,5.15,109.5
Compressor-6,Compressor,164,8.35,139.5
Valve-6,Valve,89,4.55,101.5
HeatExchanger-6,HeatExchanger,99,6.3,126
Reactor-6,Reactor,149,7.55,133.5
Condenser-6,Condenser,109,5.65,116.5
Pump-7,Pump,121,5.25,110.5
Compressor-7,Compressor,161,8.25,138.5
Valve-7,Valve,91,4.65,102.5
HeatExchanger-7,HeatExchanger,97,6.15,124.5
Reactor-7,Reactor,151,7.65,134.5
Condenser-7,Condenser,111,5.75,117.5
Pump-8,Pump,123,5.35,111.5
Compressor-8,Compressor,159,8.05,136.5
Valve-8,Valve,86,4.35,98
HeatExchanger-8,HeatExchanger,94,5.95,122
Reactor-8,Reactor,146,7.45,130
Condenser-8,Condenser,107,5.35,115
Pump-9,Pump,116,4.95,107.5
Compressor-9,Compressor,157,7.95,135.5
Valve-9,Valve,93,4.75,104
HeatExchanger-9,HeatExchanger,101,6.35,129
Reactor-9,Reactor,153,7.85,135
Condenser-9,Condenser,113,5.85,119
Pump-10,Pump,124,5.4,112.5
Compressor-10,Compressor,164,8.3,140
Valve-10,Valve,88,4.5,100
HeatExchanger-10,HeatExchanger,103,6.6,130
Reactor-10,Reactor,154,7.9,136
Condenser-10,Condenser,114,5.9,120
